Splitted by tab
	AVERAGE				STANDARD_DEVIATION				CONFIDENCE INTERVAL 95%			
RequisitionNumber	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure	ElapsedTime	 Precision	 Recall	 FMeasure
70	89.000000	0.280257	0.888889	0.425688	29.389016	0.021756	0.000000	0.024993	21.771288	0.016117	0.000000	0.018515
71	95.714286	0.282638	0.888889	0.428547	37.651463	0.019059	0.000000	0.021703	27.892081	0.014119	0.000000	0.016077
72	129.000000	0.282638	0.888889	0.428547	71.677851	0.019059	0.000000	0.021703	53.098719	0.014119	0.000000	0.016077
73	144.142857	0.282638	0.888889	0.428547	99.824744	0.019059	0.000000	0.021703	73.949847	0.014119	0.000000	0.016077
74	156.142857	0.282638	0.888889	0.428547	95.228190	0.019059	0.000000	0.021703	70.544734	0.014119	0.000000	0.016077
75	82.285714	0.282638	0.888889	0.428547	20.204061	0.019059	0.000000	0.021703	14.967103	0.014119	0.000000	0.016077
76	73.857143	0.282638	0.888889	0.428547	20.628888	0.019059	0.000000	0.021703	15.281813	0.014119	0.000000	0.016077
77	76.428571	0.280257	0.888889	0.425688	20.367040	0.021756	0.000000	0.024993	15.087837	0.016117	0.000000	0.018515
78	81.285714	0.281409	0.888889	0.427081	25.285311	0.020287	0.000000	0.023184	18.731276	0.015028	0.000000	0.017175
79	104.857143	0.281409	0.888889	0.427081	32.361479	0.020287	0.000000	0.023184	23.973278	0.015028	0.000000	0.017175
80	83.428571	0.281409	0.888889	0.427081	28.399483	0.020287	0.000000	0.023184	21.038245	0.015028	0.000000	0.017175
81	72.000000	0.281409	0.888889	0.427081	27.422618	0.020287	0.000000	0.023184	20.314587	0.015028	0.000000	0.017175
82	76.285714	0.281409	0.888889	0.427081	25.476680	0.020287	0.000000	0.023184	18.873042	0.015028	0.000000	0.017175
83	70.857143	0.281409	0.888889	0.427081	13.726185	0.020287	0.000000	0.023184	10.168314	0.015028	0.000000	0.017175
84	80.714286	0.281409	0.888889	0.427081	16.883756	0.020287	0.000000	0.023184	12.507432	0.015028	0.000000	0.017175
85	72.571429	0.283952	0.888889	0.430089	16.706347	0.018211	0.000000	0.020709	12.376008	0.013491	0.000000	0.015341
86	103.142857	0.283952	0.888889	0.430089	53.600183	0.018211	0.000000	0.020709	39.706841	0.013491	0.000000	0.015341
87	92.857143	0.283952	0.888889	0.430089	50.311682	0.018211	0.000000	0.020709	37.270730	0.013491	0.000000	0.015341
88	62.857143	0.282544	0.888889	0.428463	6.468132	0.018400	0.000000	0.020907	4.791571	0.013631	0.000000	0.015488
89	67.428571	0.282544	0.888889	0.428463	10.965623	0.018400	0.000000	0.020907	8.123298	0.013631	0.000000	0.015488
90	79.142857	0.283952	0.888889	0.430089	47.096947	0.018211	0.000000	0.020709	34.889266	0.013491	0.000000	0.015341
91	66.000000	0.281409	0.888889	0.427081	17.435596	0.020287	0.000000	0.023184	12.916233	0.015028	0.000000	0.017175
92	72.714286	0.281409	0.888889	0.427081	22.858036	0.020287	0.000000	0.023184	16.933159	0.015028	0.000000	0.017175
93	64.571429	0.281409	0.888889	0.427081	5.753437	0.020287	0.000000	0.023184	4.262128	0.015028	0.000000	0.017175
94	72.000000	0.281409	0.888889	0.427081	10.295630	0.020287	0.000000	0.023184	7.626969	0.015028	0.000000	0.017175
95	97.000000	0.280002	0.888889	0.425456	18.837652	0.020281	0.000000	0.023151	13.954872	0.015024	0.000000	0.017150
96	69.285714	0.282921	0.888889	0.428797	9.981616	0.020935	0.000000	0.023948	7.394349	0.015509	0.000000	0.017741
97	67.142857	0.282921	0.888889	0.428797	8.288177	0.020935	0.000000	0.023948	6.139855	0.015509	0.000000	0.017741
98	65.714286	0.282921	0.888889	0.428797	9.779195	0.020935	0.000000	0.023948	7.244396	0.015509	0.000000	0.017741
99	73.428571	0.285463	0.888889	0.431805	12.140336	0.018726	0.000000	0.021321	8.993521	0.013872	0.000000	0.015794
